Device,TSL_Lux,TSL_IR,TSL_Vis,TSL_Full,BME_Temp,BME_Hum,BME_Pres,BME_Alt,VEML_UV,SGP_CO2,SGP_VOCs,SOIL1_Temp,SOIL1_Cap,SOIL2_Temp,SOIL2_Cap,PIR 1,PIR 2,Decimal Hours,Year,Month,Day,Hour,Minute,Second,TimeZone
string,float,float,float,float,float,float,float,float,int,float,float,float,float,float,float,string,string,float,int,int,int,int,int,int,int
Quolls,,,,,,,,,,,,,,,,136.4189_136.4228_136.5561_135.1247_,,,,,,,,,
Quolls,23,942,24,21.38,400,157,0,420.786,1016,82,239,-1,-1,-1,-1,,,136.251,2020,1,6,16,15,5,10
Quolls,24,1015,23.596,23.61,400,165,0,444.311,1016,85,250,-1,-1,-1,-1,,,136.334,2020,1,6,16,20,5,10
Quolls,26,1015,23.696,23.31,400,176,0,476.913,1016,89,265,-1,-1,-1,-1,,,136.418,2020,1,6,16,25,5,10
Quolls,471.473,88,174,262,22.719,43.289,1012.155,9.118,26,400,0,23.696,1015,23.71,1015,,,136.423,2020,1,6,16,25,26,10
Quolls,360.855,67,133,200,22.719,43.322,1012.24,8.411,19,400,0,23.696,1015,23.004,1015,,,136.501,2020,1,6,16,30,6,10
Quolls,360.862,65,132,197,22.6,43.53,1012.012,10.307,20,400,1,24.304,1015,23.61,1016,,,137.011,2020,1,6,17,0,41,10
Quolls,,,,,,,,,,,,,,,,136.6819_136.7114_136.7164_135.1247_,,,,,,,,,
Quolls,407.999,75,150,225,22.69,43.914,1012.1,9.571,22,400,0,23.596,948,23.104,1015,,,136.668,2020,1,6,16,40,5,10
Quolls,306.464,55,112,167,22.68,44.286,1012.139,9.247,16,400,0,23.801,1016,23.31,1016,,,136.717,2020,1,6,16,43,3,10
Quolls,295.584,53,108,161,22.659,44.591,1012.12,9.405,15,400,0,23.596,1015,22.498,1016,,,136.751,2020,1,6,16,45,5,10
Quolls,306.455,57,113,170,22.62,44.467,1012.073,9.8,16,400,0,23.696,1015,23.104,1016,,,136.834,2020,1,6,16,50,5,10
Quolls,264.749,48,97,145,22.59,43.935,1011.997,10.431,14,400,0,23.392,1015,23.31,1015,,,136.918,2020,1,6,16,55,5,10
Quolls,268.385,48,98,146,22.559,42.281,1012.043,10.052,14,400,1,24.41,1016,23.61,1016,,,137.512,2020,1,6,17,30,45,10
Quolls,317.343,57,116,173,22.54,43.369,1012.028,10.177,17,400,0,23.696,1015,23.31,1016,,,137.084,2020,1,6,17,5,5,10
Quolls,293.759,54,108,162,22.51,43.169,1012.081,9.732,16,400,0,23.392,1015,23.104,1005,,,137.168,2020,1,6,17,10,5,10
Quolls,311.895,58,115,173,22.51,42.971,1012.113,9.461,17,400,0,23.392,1015,23.31,1016,,,137.251,2020,1,6,17,15,5,10
Quolls,348.159,64,128,192,22.51,42.762,1012.1,9.575,19,400,0,23.187,1014,22.898,1016,,,137.334,2020,1,6,17,20,5,10
Quolls,378.995,71,140,211,22.489,42.452,1012.08,9.744,21,400,0,23.491,1014,23.204,1016,,,137.418,2020,1,6,17,25,5,10
Quolls,261.119,48,96,144,22.53,41.696,1012.137,9.27,14,400,1,23.901,1016,23.204,1016,,,138.011,2020,1,6,18,0,41,10
Quolls,315.519,58,116,174,22.479,42.22,1012.036,10.106,17,400,0,23.596,1015,23.51,1016,,,137.584,2020,1,6,17,35,5,10
Quolls,319.156,60,118,178,22.469,42.085,1011.958,10.758,17,400,0,23.596,1015,23.204,1015,,,137.668,2020,1,6,17,40,5,10
Quolls,337.279,62,124,186,22.479,42.109,1012.055,9.949,18,400,0,23.596,1016,23.41,1016,,,137.751,2020,1,6,17,45,5,10
Quolls,353.62,67,131,198,22.479,41.944,1012.122,9.387,20,400,0,26.03,1015,23.204,960,,,137.834,2020,1,6,17,50,5,10
Quolls,342.719,63,126,189,22.489,41.768,1012.175,8.95,19,400,0,23.696,1015,23.004,1015,,,137.918,2020,1,6,17,55,5,10
Quolls,156.035,26,56,82,22.399,43.191,1012.437,6.768,8,400,1,24.099,1015,23.41,1016,,,138.511,2020,1,6,18,30,41,10
Quolls,177.783,30,64,94,22.459,42.052,1012.252,8.31,9,400,0,23.491,1015,23.31,951,,,138.084,2020,1,6,18,5,5,10
Quolls,188.659,32,68,100,22.43,41.719,1012.143,9.212,10,400,0,23.596,1008,21.48,1015,,,138.168,2020,1,6,18,10,5,10
Quolls,161.657,25,57,82,22.399,42.245,1012.256,8.273,8,400,0,23.596,1015,23.104,1016,,,138.251,2020,1,6,18,15,5,10
Quolls,145.162,24,52,76,22.379,42.572,1012.323,7.715,7,400,0,23.901,1015,22.798,1016,,,138.334,2020,1,6,18,20,5,10
Quolls,150.598,25,54,79,22.35,43.043,1012.431,6.818,8,400,0,23.596,1015,22.798,1016,,,138.418,2020,1,6,18,25,5,10
Quolls,105.387,16,37,53,22.37,44.916,1012.508,6.177,5,400,1,24,1015,23.104,1015,,,139.014,2020,1,6,19,0,52,10
Quolls,177.783,30,64,94,22.329,43.581,1012.393,7.134,9,400,0,23.491,1015,22.698,1016,,,138.584,2020,1,6,18,35,5,10
Quolls,168.685,29,61,90,22.34,43.911,1012.383,7.213,9,400,0,23.596,1016,22.798,1015,,,138.668,2020,1,6,18,40,5,10
Quolls,195.878,34,71,105,22.329,44.218,1012.3,7.91,11,400,0,23.286,1015,22.898,1016,,,138.751,2020,1,6,18,45,5,10
Quolls,139.726,23,50,73,22.329,44.494,1012.425,6.866,7,400,0,23.491,1015,23.004,1016,,,138.834,2020,1,6,18,50,5,10
Quolls,128.854,21,46,67,22.309,44.81,1012.468,6.509,6,400,0,23.491,1015,22.898,1015,,,138.918,2020,1,6,18,55,5,10
