Device,TSL_Lux,TSL_IR,TSL_Vis,TSL_Full,Percentage_IR,BME_Temp,BME_Hum,BME_Pres,BME_Alt,VEML_UV,SGP_CO2,SGP_VOCs,SOIL1_Temp,SOIL1_Cap,SOIL2_Temp,SOIL2_Cap,PIR 1,Decimal Hours,Decimal Hours,Year,Month,Day,Hour,Minute,Second,TimeZone
Quolls,426.135,79,157,236,0.334745763,22.75,44.689,1012.235,8.453,22,400,0,24.205,1015,23.204,1016,,135.835,15.835,2020,1,6,15,50,6,10
Quolls,375.359,69,138,207,0.333333333,22.729,44.434,1012.243,8.386,19,400,0,27.247,810,23.61,1016,,135.918,15.918,2020,1,6,15,55,5,10
Quolls,378.995,71,140,211,0.336492891,22.729,44.368,1012.271,8.152,20,400,0,23.696,1015,23.61,902,,136.001,16.001,2020,1,6,16,0,5,10
Quolls,487.793,91,180,271,0.335793358,22.739,44.006,1012.228,8.511,26,400,0,23.596,1015,23.31,1015,,136.084,16.084,2020,1,6,16,5,5,10
Quolls,355.415,66,131,197,0.335025381,22.809,43.561,1012.099,9.581,19,400,1,24.41,1016,23.71,1016,,136.598,16.598,2020,1,6,16,35,53,10
Quolls,471.473,88,174,262,0.335877863,22.719,43.289,1012.155,9.118,26,400,0,23.696,1015,23.71,1015,,136.423,16.423,2020,1,6,16,25,26,10
Quolls,360.855,67,133,200,0.335,22.719,43.322,1012.24,8.411,19,400,0,23.696,1015,23.004,1015,,136.501,16.501,2020,1,6,16,30,6,10
Quolls,360.862,65,132,197,0.329949239,22.6,43.53,1012.012,10.307,20,400,1,24.304,1015,23.61,1016,,137.011,17.011,2020,1,6,17,0,41,10
Quolls,407.999,75,150,225,0.333333333,22.69,43.914,1012.1,9.571,22,400,0,23.596,948,23.104,1015,,136.668,16.668,2020,1,6,16,40,5,10
Quolls,306.464,55,112,167,0.329341317,22.68,44.286,1012.139,9.247,16,400,0,23.801,1016,23.31,1016,,136.717,16.717,2020,1,6,16,43,3,10
Quolls,295.584,53,108,161,0.329192547,22.659,44.591,1012.12,9.405,15,400,0,23.596,1015,22.498,1016,,136.751,16.751,2020,1,6,16,45,5,10
Quolls,306.455,57,113,170,0.335294118,22.62,44.467,1012.073,9.8,16,400,0,23.696,1015,23.104,1016,,136.834,16.834,2020,1,6,16,50,5,10
Quolls,264.749,48,97,145,0.331034483,22.59,43.935,1011.997,10.431,14,400,0,23.392,1015,23.31,1015,,136.918,16.918,2020,1,6,16,55,5,10
Quolls,268.385,48,98,146,0.328767123,22.559,42.281,1012.043,10.052,14,400,1,24.41,1016,23.61,1016,,137.512,17.512,2020,1,6,17,30,45,10
Quolls,317.343,57,116,173,0.329479769,22.54,43.369,1012.028,10.177,17,400,0,23.696,1015,23.31,1016,,137.084,17.084,2020,1,6,17,5,5,10
Quolls,293.759,54,108,162,0.333333333,22.51,43.169,1012.081,9.732,16,400,0,23.392,1015,23.104,1005,,137.168,17.168,2020,1,6,17,10,5,10
Quolls,311.895,58,115,173,0.335260116,22.51,42.971,1012.113,9.461,17,400,0,23.392,1015,23.31,1016,,137.251,17.251,2020,1,6,17,15,5,10
Quolls,348.159,64,128,192,0.333333333,22.51,42.762,1012.1,9.575,19,400,0,23.187,1014,22.898,1016,,137.334,17.334,2020,1,6,17,20,5,10
